texto,clase
mi tío mandó un sticker de 🥷 al grupo de la familia jajaja,MIXED
No pierdan de vista el objetivo 👁️,SYMBOLS
entras oy y ganas dsd el primer dia 🥷💵 ntp saber nada,HIGH_RISK
listos 🪖💀 pa los q kieran entrar proteccion y pago diario bro,MIXED
"La familia entera fue al hospital a apoyarla, qué amor.",SAFE
"La familia NG te ocupa, manda mensaje.",HIGH_RISK
"Jale con la 🍕, dinero rápido y discreción total 🤫.",MIXED
somos una empresa seria 👁️ manda inbox para unirte a la familia,MIXED
Atentos a las señales 👺🥷,SYMBOLS
NG 🐔 buscando hermanos d palabra con ganas d ganar bien 💵,MIXED
NG siempre firmes 🐔,SYMBOLS
El gallo 🐔 de cerámica en la cocina de mi mamá lleva 20 años ahí.,SAFE
El gallo 🐔 en el escudo del equipo representa valentía.,SYMBOLS
trabajos disponibles oy en la org 👁️ pag diaria cash,HIGH_RISK
oportunidad unica en la zona 🍕 dk ndie y gana bien,HIGH_RISK
aqui andamos 🥷 activos,SYMBOLS
quieres lana rapido? manda msj,HIGH_RISK
🍕 llegó fría pero igual nos la acabamos sin drama.,SYMBOLS
El ojo 👁️ turco colgado en la entrada de su casa es enorme.,SYMBOLS
"Ya me pagaron el trabajo freelance, por fin respiro.",SAFE
andamos viendo 👁️,SYMBOLS
ponle contraseña a tu cel pa q no te lo revisen,HIGH_RISK
puro morro meco creyéndose 🥷 en los comentarios,MIXED
"Ya usé el casco 🪖 toda la clase de química, no fue tan raro.",SAFE
Puro 7-0-1 🍕,SYMBOLS
si no tienes miedo ay lugar pa ti 💀🔥 manda inbox,HIGH_RISK
aquí se respeta a los que jalan,BELONGING
si nadie t a dado chance aki si hay lugar pa ti 💀,BELONGING
Únete al equipo del 🍕 protección y dinero.,HIGH_RISK
en línea 🥷,SYMBOLS
ya eres parte de esto,BELONGING
nomas ando echando el 👁️ a los tiktoks de risa,MIXED
"Entrenamiento listo 🪖, somos el equipo que sí te cuida.",MIXED
modo 🥷 aktivo aki somos uno y la lana no falta ntp,MIXED
paga diaria 💵🔥 diskreccion total y respaldo d la fam real,HIGH_RISK
metete a este link y pon tu numero pa darte tus skins,HIGH_RISK
"Sombras activas 🥷, para los que quieren crecer con la familia real.",MIXED
gente d honor y lealtad eso somos xq no ser parte d esto,BELONGING
Pizza 🍕 al horno de casa vs delivery: siempre gana la de casa.,SAFE
"ya llegué, abre la puerta",SAFE
te damos moto y cel wey nomas es avisar 👺,HIGH_RISK
Directo en 5 minutos 🍕🍕,SYMBOLS
si no tienes miedo 💀 okupas entrar ya manda dm,HIGH_RISK
la org 🐔💀 recluta ahorita gente d confianza paga real,HIGH_RISK
"🐔 frito con arroz, el menú de hoy en casa.",SYMBOLS
activo otra vez 🐔,SYMBOLS
t damos lo q ndie mas t puede dar respeto d verdad 🔥,BELONGING
NG 🐔 busca morros sin miedo lana diaria asegurada 💀,HIGH_RISK
NG aktiva 🐔💵 hermandad real + pago puntual pa gente seria,MIXED
Chamba de riesgo pero con mucha lana 💰.,HIGH_RISK
ya hiciste la tarea de mate wey pasa copia,SAFE
"Olvídense del casco 🪖, dijo, y luego se pegó en la cabeza.",SAFE
bienvenido al unico lugar d donde si ay futuro real pa ti,BELONGING
"Todo en orden 🪖, aquí te enseñamos a ganar respeto de verdad.",MIXED
"traigo hambre, voy por tacos 🌮",SAFE
vente con nosotros morro aqui si te respetan de verdad,BELONGING
nadie te apoya como yo wey x eso te ayudo,BELONGING
"Solo necesitas tu cel, trabajo inmediato 🐔 NG.",HIGH_RISK
La pizza 🍕 de ese lugar es la mejor de la zona.,SAFE
"dicen que los 🍕 andan cobrando piso en el centro, cuidado banda",MIXED
"Ya tiene casco 🪖 nuevo mi hermano, bien equipado.",SYMBOLS
"Pidamos 🍕 para ver el partido, yo pongo el refresco.",SYMBOLS
ya eres d los nuestros ntp demostrar nada mas,BELONGING
"Equipo en pie 🪖, si quieres respeto y feria esta es tu familia.",MIXED
solo ocpas cel y ya ganas 💵🔥 manda dm,HIGH_RISK
borra los mensajes cuando terminemos de hablar va,HIGH_RISK
"Oye, ¿me puedes prestar para el lunch? Mañana te pago.",SAFE
puro jale pesao wey caiganle a la clika hay buena paga 🐔,HIGH_RISK
"Me prestaron para el camión, no traía ni un peso encima.",SAFE
si ocupas dinero pa tu familia yo te puedo prestar,BELONGING
"NG presente 🐔, buscamos gente de palabra con ganas de ganar.",MIXED
Esta familia loca es lo mejor que me pasó en la vida.,SAFE
Reporte de hoy 👁️🥷,SYMBOLS
Pura gente del 🍕,SYMBOLS
aqui la clika te defiende a muerte carnalito ps caile,BELONGING
aqui somos tu verdadera familia wey nadie te va a dejar solo,BELONGING
dinero facil 💵🔥 xq seguir batallando si aki ay oportunidad,HIGH_RISK
"Se me fue el ojo 👁️ solo, no fue intencional, lo juro.",SAFE
🐔 del equipo azul siempre en la cancha sin importar el marcador.,SAFE
hay chamba facil xq no entras 💀,HIGH_RISK
aquí todos jalan parejo,BELONGING
tu jefe no te valora wey aqui te hacemos un hombre,BELONGING
nueva generacion 🐔🔥 buscando morros con ganas d crecer,HIGH_RISK
t damos respaldo q ndie mas t puede dar eso vale + q todo 💀,BELONGING
si nadie t a valorado aki si hay gente q sabe lo q eres,BELONGING
vacante especial 👁️ para los q saben guardar la boca cerrada,HIGH_RISK
esto es familia de verdad,BELONGING
"Somos los nuestros 🥷, discreción total y buena vida garantizada.",MIXED
Viendo todo desde arriba 👁️,SYMBOLS
"Fuerza y unión 🪖, el grupo te da lo que necesitas.",MIXED
Saludos a la bandera 🥷,SYMBOLS
solo gente seria 👁️,HIGH_RISK
"La pizza llego 🍕 con dos ingredientes extra sin cargo, que sorpresa.",SAFE
"Traje el casco 🪖 para la práctica de laboratorio, bien precavido.",SAFE
"Únete a la hermandad, protección total.",BELONGING
Vente con la familia 🐔 aquí sí hay respeto y buena lana.,MIXED
confia en mi carnal yo soy como tu hermano mayor,BELONGING
"Si nadie te ha dado chance, la 🍕 sí te da lugar y buena lana.",MIXED
mañana no hay clases xq hay junta de profes,SAFE
andamos activos 🥷,SYMBOLS
mejor hablamos x telegram aya es mas privado wey,HIGH_RISK
Mi papá nunca sale sin su casco 🪖 aunque sea una vuelta.,SYMBOLS
Puro fuego hoy 🐔🔥,SYMBOLS
con nosotros cambias tu vida bro eso es hecho no palabras,BELONGING
¿Les parece pizza 🍕 o prefieren otra cosa?,SAFE
con el equipo 🪖💀 siempre ay respaldo feria y lugar en la fam,MIXED
"Traje el casco 🪖 a la práctica, ya aprendí la lección.",SYMBOLS
Vi al ojo 👁️ turco colgado en muchas casas en Turquía.,SAFE
"la chapizza 🍕 no abandona a su gente, jale activo banda",MIXED
aki t sobra el respaldo pase lo q pase eso es lo q somos bro 🔥,BELONGING
🍕 aquí nomás,SYMBOLS
somos d los q no abandonan a los suyos jamas ni en las malas 💀,BELONGING
punto listo 🪖,SYMBOLS
aquí sí importas,BELONGING
todo bajo control 👁️,SYMBOLS
¿Cuánto cuesta la pizza 🍕 mediana ahí?,SAFE
🪖💀 listos para los q kieran entrar proteccion y $ diario,MIXED
Nueva info disponible 🍕,SYMBOLS
"Compramos pizza 🍕 para ver el partido, fue épico.",SAFE
Tu familia va a estar orgullosa de ti.,BELONGING
"Olvidé el casco 🪖 en casa, tuve que regresar por él.",SAFE
🪖💀 listos pa los q kieran entrar proteccion y $$ diario,MIXED
movimiento hoy 🐔,SYMBOLS
no digas nada y entras,HIGH_RISK
Aquí andamos 🥷👁️,SYMBOLS
Nueva dinámica en el grupo 🐔,SYMBOLS
NG activos en la zona 🐔,SYMBOLS
este vato parece 👺 con esa mascara de halloween,MIXED
El gallo 🐔 de mi abuelo se escapa todos los días.,SAFE
"Aquí nos cuidamos entre todos, somos uno solo.",BELONGING
accion real 🥷💀 aki se trabaja en familia y el dinero es seguro,MIXED
Aquí la lealtad se paga con protección.,BELONGING
fam 🍕💀 no t deja solo y la feria llega sin falla cada semana,MIXED
"Ya tengo para pagar mis deudas, bendita quincena.",SAFE
buscando raza para el equipo 🐔 pago puntual y respaldo en tu colonia,MIXED
jale seguro 🍕 pago cash,HIGH_RISK
la familia real no t abandona aki todos jalan parejo,BELONGING
tu jefa no entiende estas cosas mejor ni le cuentes,BELONGING
Nos tocó usar cascos 🪖 en la visita a la fábrica.,SAFE
juega bien wey me estas haciendo perder puntos en rank,SAFE
ese morro se cree bien alucin y es puro platino en free 🐔,MIXED
aki si importas no eres un numero somos uno mismo 🔥,BELONGING
Nueva actualización 🍕,SYMBOLS
El ninja 🥷 del videojuego tiene el mejor diseño de todos.,SYMBOLS
"puro NG 🐔 cuidando a los nuestros, si le entras hay aguinaldo",MIXED
"Modo activo 🥷, si quieres salir de pobre este es el camino.",MIXED
"Únete o te quedas fuera, dinero fácil 🍕.",HIGH_RISK
aca en la empresa ocupamos repartidores con moto propia,HIGH_RISK
te pago la escuela si me ayudas con unas entregas,HIGH_RISK
Te damos el respaldo que nadie te dio.,BELONGING
"🐔 en el costal de la tortillería, qué clásico jaja.",SAFE
Mi familia tiene tradición de comer juntos cada domingo.,SAFE
Tengo el ojo 👁️ puesto en esas zapatillas desde hace días.,SYMBOLS
Todo bien por acá 🍕 NG,SYMBOLS
El equipo del casco 🪖 presente.,SYMBOLS
wey ya llegue a la esquina sal x mi xq me da miedo,SAFE
"Dinero, respeto y poder. No le digas a nadie.",HIGH_RISK
necesito q cuides una bodega y te doy 5mil robux,HIGH_RISK
👁️ al tiro en zona cuida a los suyos y paga mejor q ndie 💵,MIXED
"no mames, el profe de historia se puso a hablar de la maña 👁️",MIXED
si nadie t entendia aki si hay gente q sabe lo q es lealtad,BELONGING
si quieres salir de pobre aquí es,HIGH_RISK
caile a la base wey hay feria rapida y armas 🪖,HIGH_RISK
todo vigilado 👁️💀 aki somos uno y la paga llega puntual siempre,MIXED
Checa el perfil 👁️👺,SYMBOLS
jale seguro wey 5mil a la semana puro 🐔,HIGH_RISK
"wey ya deja de mandar tiktoks de la 🍕, pareces alucín",MIXED
no le cuentes a nadie,HIGH_RISK
"Deja de ser un cero a la izquierda, únete.",BELONGING
Al cien con el equipo 🪖🍕,SYMBOLS
Se me fue el ojo 👁️ con ese meme en clase jaja.,SYMBOLS
entra a la org 🍕💵 proteccion respaldo y feria garantizada,HIGH_RISK
aki nadie t juzga carnal somos hermanos d verdad 🔥💀,BELONGING
"Únete a los que sí cumplen 🐔, protección y dinero diario.",MIXED
La pizza 🍕 llegó fría pero igual nos la acabamos jaja.,SAFE
"Dinero sin esfuerzo, solo discreción total.",HIGH_RISK
¿Nadie te entiende? Nosotros sí.,BELONGING
Mi familia es el equipo más importante de mi vida.,SAFE
"Ninjas serios 🥷, trabajo discreto, familia real y feria sin falla.",MIXED
NG al pendiente 👁️,SYMBOLS
vamos a jugar fut el sábado ⚽,SAFE
con el equipo 🪖 siempre ay respaldo feria y lugar en la fam 💀,MIXED
"Con el equipo 🪖 siempre hay respaldo, feria y un lugar en la hermandad.",MIXED
paga semanal asegurada 💵🔥 manda msj si quieres unirte ya,HIGH_RISK
"Este fin de semana family time, nada de trabajo.",SAFE
🍕🍕 ordenamos dos para el grupo de estudio.,SYMBOLS
puro movimiento 🐔🔥,SYMBOLS
equipo 🪖🔥 unido aki t cuidan y pagan dsd el primer dia,MIXED
ocupamos morros para jale rapido,HIGH_RISK
vieron las noticias de lo que hizo el CJNG 🐔 ayer? qué miedo,MIXED
"La 🍕 siempre cuida a los suyos, paga puntual y respeto total.",MIXED
"Juntamos lana entre cuatro para el regalo, quedó bien.",SAFE
Demuestra de qué estás hecho y gana respeto.,BELONGING
sin experiencia y con lana,HIGH_RISK
seguimos firmes 🐔,SYMBOLS
si quieres salir d pobre 💵🔥 aki es manda msj al privado,HIGH_RISK
vives cerca de la prepa o caminas mucho x la calle,HIGH_RISK
"Buscamos ninjas 🥷 para jale discreto, buena feria semanal.",MIXED
t cuidamos como familia d sangre eso vale + q todo 🔥,BELONGING
eres d los nuestros ya bro bienvenido a la familia real,BELONGING
NG aktiva 🐔🔥 hermandad real + pago puntual pa gente seria,MIXED
"Me depositaron el pago del freelance, justo a tiempo.",SAFE
"Observando quién es leal 👁️, aquí sí valoramos tu palabra.",MIXED
Activos hoy 🐔🔥,SYMBOLS
hay jale 🥷💀 sin experiencia necesaria solo lealtad total,HIGH_RISK
🐔💀 aktivos en zona fam real + paga segura pa los q entren,MIXED
"Sé el orgullo de tu barrio, únete.",BELONGING
"🐔 activo en zona, gente de confianza con lugar en la familia.",MIXED
"Me revisé el ojo 👁️, era solo una basurita, ya pasó.",SYMBOLS
"Buscamos guerreros, gente con ganas de crecer.",BELONGING
eres de los nuestros ahora,BELONGING
"Pasé el fin de semana con la familia, lo necesitaba.",SAFE
"Me cayó el pago por fin, ya tengo para la semana.",SAFE
reclutamiento NG 🐔💵 ntp experiencia solo lealtad,HIGH_RISK
El ninja 🥷 del juego tiene el mejor diseño de todos los personajes.,SAFE
si nadie t dio chance la 🐔 si t da lugar y buena lana 💵,MIXED
¿Pizza 🍕 o tacos para la noche? Voten ya.,SYMBOLS
NG sigue activo,SYMBOLS
te damos entrenamiento 🪖,HIGH_RISK
descarga esta app secreta pa q no nos cachen,HIGH_RISK
"Le robaron el ojo 👁️ al muñeco que hice, qué coraje.",SAFE
👁️🔥 observando a los leales aki se paga bn y ndie t falla,MIXED
somos gente leal,BELONGING
"La chapizza 🍕 no deja ir a los suyos, protección y efectivo siempre.",MIXED
Manda msj al privado xq ay jale 💀🔥 sin preguntas bro,HIGH_RISK
no cualquiera entra xq los d aki son d palabra y honor real,BELONGING
t valoramos como persona no como numero eso es diferente bro 💀,BELONGING
Parece ninja 🥷 cómo desapareció sin pagar su parte jaja.,SAFE
Listos para lo que venga 🪖,SYMBOLS
"Aquí nadie te va a juzgar, somos familia.",BELONGING
somos el grupo d los q si aparecen cuando uno los necesita 💀,BELONGING
"Ese árbitro es un ninja 🥷, apareció de la nada.",SYMBOLS
esto es un secreto entre tu y yo no le digas a nadie,BELONGING
manda dm y te explico,HIGH_RISK
nadie te va a dejar solo aquí,BELONGING
"Gente de acción 🥷, aquí se gana lo que en ningún otro lado.",MIXED
"NG busca hermanos 🐔, gente de palabra que quiera ganar de verdad.",MIXED
"Ya pedí la pizza 🍕, llega en 20 min.",SAFE
jaja ese meme está buenísimo 😂,SAFE
Buscamos gente que quiera ser respetada.,BELONGING
Mi gallo 🐔 favorito del rancho se llama Canelo.,SAFE
Pura gente de acción 🪖 pago en efectivo.,HIGH_RISK
La chapizza 🍕 mandando.,SYMBOLS
no cualquiera entra aquí,BELONGING
la chapizza 🍕🔥 no pregunta tu pasado solo q seas leal bro,MIXED
🍕 en la zona,SYMBOLS
entra hoy mismo 🍕,HIGH_RISK
con nosotros cambias tu vida,BELONGING
Mi familia siempre llega cuando uno más lo necesita.,SAFE
ando bien cansado hoy 😴,SAFE
🍕 presente,SYMBOLS
¿Cómo le hacemos con el dinero del viaje? Hay que dividir.,SAFE
no estás solo carnal,BELONGING
esos batos dicen ser 🍕 pero en realidad son puro farol,MIXED
Video nuevo en el canal NG 👁️,SYMBOLS
si t sientes fuera d lugar aki si encajas bro sin preguntas 💀,BELONGING
somos d los nuestros 🥷 diskreccion total y buena vida bro 🔥,MIXED
"Somos guerreros 🥷, nadie está solo y el dinero no falta nunca.",MIXED
"Sé un ninja 🥷 de la organización, buena vida.",HIGH_RISK
¿Con qué ingredientes pido la 🍕? Siempre me tarda la decisión.,SYMBOLS
modo activo 🥷,SYMBOLS
"Tu nueva vida empieza aquí, con apoyo real.",BELONGING
okupamos gente oya 🐔 paga segura ntp,HIGH_RISK
La NG 🐔 busca a los que sí quieren crecer y ganar de verdad.,MIXED
"Con nosotros 🪖 nunca batallas, hay apoyo, respeto y paga puntual.",MIXED
"NG te respalda 👁️, aquí nadie te toca porque somos uno mismo.",MIXED
cuidado en la carretera dicen que andan los 🪖 parando carros,MIXED
"Ese chavo es ninja 🥷 para los videojuegos, no lo vence nadie.",SAFE
El equipo de fut es como mi familia.,SAFE
"Hermandad y respeto 🐔, con nosotros el dinero llega sin falla.",MIXED
somos el grupo q si t da su lugar bro ndie mas hace eso,BELONGING
aki hay $$ 💵💀 sin tanto rollo manda inbox si quieres entrar,HIGH_RISK
Activación NG 🐔,SYMBOLS
"Lealtad y discreción 🥷, el pago llega sin fallar.",MIXED
jale facil $$ manda inbox,HIGH_RISK
ocupamos gente de confianza,HIGH_RISK
sin ruido 👁️,SYMBOLS
trabajo facil desde tu cel 👁️,HIGH_RISK
Le regalé al niño un disfraz de ninja 🥷 para halloween.,SAFE
Buscamos operativos para NG 🐔 paga alta.,HIGH_RISK
🍕 reportando,SYMBOLS
"La chapizza 🍕 busca gente seria, no le digas a nadie y manda inbox.",MIXED
somos familia d verdad no d palabras bonitas carnal 💀,BELONGING
Ahorrando dinero para el concierto de mañana.,SAFE
Mi hermano ya carga el casco 🪖 hasta cuando va al tianguis.,SAFE
"Oigan, ¿alguien sabe si hay tarea?",SAFE
busco edecanes pa eventos privados 6mil el fin de semana,HIGH_RISK
somos banda de verdad,BELONGING
"Pizza 🍕 con todo encima, así la pido yo siempre.",SAFE
Transforma tu miedo en poder con nosotros.,BELONGING
somos los que sí cumplen,BELONGING
Mi gallo 🐔 ganó en la exposición ganadera del pueblo.,SYMBOLS
"Andamos al tiro 👁️, cuidando a los nuestros como familia.",MIXED
somos + q un equipo somos hermanos d vida 💀,BELONGING
listos 👁️,SYMBOLS
El casco 🪖 de obra es incómodo pero vale la pena usarlo.,SAFE
reclutamiento aktivo 🐔💵 solo pa gente seria sin tanto rollo,HIGH_RISK
La organización 🍕 protege a los suyos y paga mejor que nadie.,MIXED
Nadie toca a uno de los nuestros.,BELONGING
accion real 🥷 aki se trabaja en familia y el dinero es seguro 💵,MIXED
👁️ al pendiente d los nuestros paga puntual y respaldo total 🔥,MIXED
la fam 🐔 esta reclutando oy no pierdas el chance,HIGH_RISK
🍕 firme,SYMBOLS
"Oportunidad única 👁️, aquí la lealtad se convierte en feria real.",MIXED
¿Tienes para el pasaje? Se me olvidó sacar en el cajero.,SAFE
Toda la familia se va de vacaciones junta en julio.,SAFE
NG presente siempre,SYMBOLS
"Mi jefa me pagó hoy, por fin puedo comer bien esta semana.",SAFE
no t van a fallar aki lo q se dice se cumple 💀🔥,BELONGING
con nosotros t sobra el apoyo eso no l da cualquiera bro 🔥,BELONGING
Sigue la cuenta principal 🐔,SYMBOLS
vamos al cine o qué?,SAFE
paga diaria asegurada 🍕,HIGH_RISK
entra al equipo 🥷 dinero rapdo y sin tanta vuelta,HIGH_RISK
